Simplified	Traditional	Japanese	Pinyin	Jyutping	CC-CEDICT English definition
王	王	王	wáng	wong4	surname Wang || king or monarch / best or strongest of its type / grand / great || to rule / to reign over
呢	呢	それは	ne	ne1	particle indicating that a previously asked question is to be applied to the preceding word ('What about ...?', 'And ...?') / particle for inquiring about location ('Where is ...?') / particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board ('ok?', 'are you with me?') / (at the end of a declarative sentence) particle indicating continuation of a state or action / particle indicating strong affirmation || woolen material
很	很	非常に	hěn	han2	(adverb of degree) / quite / very / awfully
高兴	高興	ハッピー	gāo xìng	gou1 hing1	happy / glad / willing (to do sth) / in a cheerful mood
高	高	高いです	gāo	gou1	surname Gao || high / tall / above average / loud / your (honorific)
兴	興	関心	xìng	hing1	surname Xing || to rise / to flourish / to become popular / to start / to encourage / to get up / (often used in the negative) to permit or allow (dialect) / maybe (dialect) || feeling or desire to do sth / interest in sth / excitement
认识	認識	理解	rèn shi	jing6 sik1	to know / to recognize / to be familiar with / to get acquainted with sb / knowledge / understanding / awareness / cognition
也	也	さらに	yě	jaa5	surname Ye || also / too / (in Classical Chinese) final particle implying affirmation
认	認	認めます	rèn	jing6	to recognize / to know / to admit
识	識	知っています	shí	sik1	to know / knowledge / Taiwan pr. [shi4] || to record / to write a footnote
吃	吃	食べます	chī	hek3	to eat / to consume / to eat at (a cafeteria etc) / to eradicate / to destroy / to absorb / to suffer / to stammer (Taiwan pr. for this sense is [ji2])
饭	飯	食事	fàn	faan6	food / cuisine / cooked rice / meal / CL: 碗, 頓｜顿
鱼	魚	魚	yú	jyu4	surname Yu || fish / CL: 條｜条, 尾
面	面	表面	miàn	min6	face / side / surface / aspect / top / classifier for flat surfaces such as drums, mirrors, flags etc || flour / noodles / (of food) soft (not crunchy) / (slang) (of a person) ineffectual / spineless
喝	喝	ドリンク	hē	hot3	to drink / My goodness! || to shout loudly
水	水	水	shuǐ	seoi2	surname Shui || water / river / liquid / beverage / additional charges or income / (of clothes) classifier for number of washes
茶	茶	ティー	chá	caa4	tea / tea plant / CL: 杯, 壺｜壶
不	不	ではありません	bù	bat1	(negative prefix) / not / no
是	是	それはあります	shì	si6	is / are / am / yes / to be
他	他	彼	tā	taa1	he or him / (used for either sex when the sex is unknown or unimportant) / (used before sb's name for emphasis) / (used as a meaningless mock object) / other / another
学生	學生	学生	xué sheng	hok6 saang1	student / schoolchild
学	學	学びます	xué	hok6	to learn / to study / to imitate / science / -ology
生	生	生	shēng	saang1	to be born / to give birth / life / to grow / raw / uncooked / student
吗	嗎	それは	ma	maa1	see 嗎啡｜吗啡, morphine || (question particle for 'yes-no' questions)
她	她	彼女	tā	taa1	she
你们	你們	君	nǐ men	nei5 mun4	you (plural)
我们	我們	米国	wǒ men	ngo5 mun4	we / us / ourselves / our
他们	他們	彼ら	tā men	taa1 mun4	they
们	們	彼ら	men	mun4	plural marker for pronouns, and nouns referring to individuals
老师	老師	教師	lǎo shī	lou5 si1	teacher / CL: 個｜个, 位
医生	醫生	医療の	yī shēng	ji1 saang1	doctor / CL: 個｜个, 位, 名
她们	她們	彼ら	tā men	taa1 mun4	they / them (for females)
老	老	古いです	lǎo	lou5	prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity / old (of people) / venerable (person) / experienced / of long standing / always / all the time / of the past / very / outdated / (of meat etc) tough
师	師	除算	shī	si1	surname Shi || teacher / master / expert / model / army division / (old) troops / to dispatch troops
医	醫	治療	yī	ji1	medical / medicine / doctor / to cure / to treat
的	的	の	de	dik1	of / ~'s (possessive particle) / (used after an attribute) / (used to form a nominal expression) / (used at the end of a declarative sentence for emphasis) || see 的士 || really and truly || aim / clear
电话	電話	電話	diàn huà	din6 waa6	telephone / CL: 部 / phone call / CL: 通 / phone number
电	電	電気	diàn	din6	electric / electricity / electrical
话	話	言葉	huà	waa6	dialect / language / spoken words / speech / talk / words / conversation / what sb said / CL: 種｜种, 席, 句, 口, 番
号码	號碼	番号	hào mǎ	hou6 maa5	number / CL: 堆, 個｜个
多少	多少	どの位	duō shǎo	do1 siu2	number / amount / somewhat || how much / how many / which (number) / as much as
多	多	もっと	duō	do1	many / much / often / a lot of / numerous / more / in excess / how (to what extent) / multi- / Taiwan pr. [duo2] when it means 'how'
少	少	レス	shǎo	siu2	few / less / to lack / to be missing / to stop (doing sth) / seldom || young
号	號	番号	hào	hou6	roar / cry / CL: 個｜个 || ordinal number / day of a month / mark / sign / business establishment / size / ship suffix / horn (wind instrument) / bugle call / assumed name / to take a pulse / classifier used to indicate number of people
码	碼	コード	mǎ	maa5	weight / number / code / to pile / to stack / classifier for length or distance (yard), happenings etc
中国	中國	中国	zhōng guó	zung1 gwok3	China
人	人	人々	rén	jan4	man / person / people / CL: 個｜个, 位
中	中	で	zhōng	zung1	China / Chinese / surname Zhong || within / among / in / middle / center / while (doing sth) / during / (dialect) OK / all right || to hit (the mark) / to be hit by / to suffer / to win (a prize, a lottery)
国	國	国	guó	gwok3	surname Guo || country / nation / state / national / CL: 個｜个
哪	哪	どの	nǎ	naa5	how / which || (particle equivalent to 啊 after noun ending in -n) || which? (interrogative, followed by classifier or numeral-classifier)
英国	英國	英国	yīng guó	jing1 gwok3	United Kingdom 聯合王國｜联合王国 / United Kingdom of Great Britain and Northern Ireland / abbr. for England 英格蘭｜英格兰
美国	美國	米国	měi guó	mei5 gwok3	United States / USA / US
英	英	英語	yīng	jing1	United Kingdom / British / England / English / abbr. for 英國｜英国 || hero / outstanding / excellent / (literary) flower / blossom
美	美	米国	měi	mei5	the Americas / abbr. for 美洲 / USA / abbr. for 美國｜美国 || beautiful / very satisfactory / good / to beautify / to be pleased with oneself
都	都	全て	dōu	dou1	surname Du || all / both / entirely / (used for emphasis) even / already / (not) at all || capital city / metropolis
对	對	へ	duì	deoi3	right / correct / couple / pair / towards / at / for / to face / opposite / to treat (sb a certain way) / to match together / to adjust / to fit / to suit / to answer / to reply / classifier: couple
加拿大	加拿大	カナダ	jiā ná dà	gaa1 naa4 daai6	Canada / Canadian
加	加	プラス	jiā	gaa1	abbr. for Canada 加拿大 / surname Jia || to add / plus / (used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned) / to apply (restrictions etc) to (sb) / to give (support, consideration etc) to (sth)
拿	拿	取ります	ná	naa4	to hold / to seize / to catch / to apprehend / to take / (used in the same way as 把: to mark the following noun as a direct object)
大	大	すばらしいです	dà	daai6	big / huge / large / major / great / wide / deep / older (than) / oldest / eldest / greatly / very much / (dialect) father / father's elder or younger brother || see 大夫
忙	忙	忙しいです	máng	mong4	busy / hurriedly / to hurry / to rush
早上	早上	朝	zǎo shang	zou2 soeng5	early morning / CL: 個｜个
早	早	早いです	zǎo	zou2	early / morning / Good morning! / long ago / prematurely
上	上	上の	shàng	soeng5	see 上聲｜上声 || on top / upon / above / upper / previous / first (of multiple parts) / to climb / to get onto / to go up / to attend (class or university)
怎么样	怎麽樣	いかが	zěn me yàng	zam2 mo1 joeng6	how? / how about? / how was it? / how are things?
今天	今天	今日	jīn tiān	gam1 tin1	today / at the present / now
怎	怎	どのように	zěn	zam2	how
样	樣	種類	yàng	joeng6	manner / pattern / way / appearance / shape / classifier: kind, type
今	今	今日	jīn	gam1	today / modern / present / current / this / now
天	天	日	tiān	tin1	day / sky / heaven
家	家	家	jiā	gaa1	see 傢伙｜家伙 || surname Jia || home / family / (polite) my (sister, uncle etc) / classifier for families or businesses / refers to the philosophical schools of pre-Han China / noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian / CL: 個｜个
北京	北京	北京	běi jīng	bak1 ging1	Beijing, capital of People's Republic of China / Peking / PRC government
在	在	で	zài	zoi6	(located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress)
北	北	北	běi	bak1	north / to be defeated (classical)
京	京	北京	jīng	ging1	abbr. for Beijing / surname Jing / Jing ethnic minority || capital city of a country / big / algebraic term for a large number (old) / artificial mound (old)
哪儿	哪兒	どこ	nǎr	naa5 ji4	where? / wherever / anywhere
纽约	紐約	ニューヨーク	niǔ yuē	nau2 joek3	New York
香港	香港	香港	xiāng gǎng	hoeng1 gong2	Hong Kong
儿	兒	子供	ér	ji4	child / son || non-syllabic diminutive suffix / retroflex final
纽	紐	ボタン	niǔ	nau2	to turn / to wrench / button / nu (Greek letter Νν)
约	約	約	yuē	joek3	to weigh in a balance or on a scale || to make an appointment / to invite / approximately / pact / treaty / to economize / to restrict / to reduce (a fraction) / concise
香	香	インセンス	xiāng	hoeng1	fragrant / sweet smelling / aromatic / savory or appetizing / (to eat) with relish / (of sleep) sound / perfume or spice / joss or incense stick / CL: 根
港	港	港	gǎng	gong2	Hong Kong, abbr. for 香港 / surname Gang || harbor / port / CL: 個｜个
住	住	ライブ	zhù	zyu6	to live / to dwell / to stay / to reside / to stop / (suffix indicating firmness, steadiness, or coming to a halt)
伦敦	倫敦	ロンドン	lún dūn	leon4 deon1	London, capital of United Kingdom
台湾	台灣	台湾	tái wān	toi4 waan1	Taiwan
伦	倫	倫	lún	leon4	human relationship / order / coherence
敦	敦	ロンドン	dūn	deon1	kindhearted / place name
台	台	台湾	tái	toi4	Taiwan (abbr.) / surname Tai || (classical) you (in letters) / variant of 臺｜台 || desk / table / counter || Taiwan (abbr.) || platform / stage / terrace / stand / support / station / broadcasting station / classifier for vehicles or machines || typhoon
湾	灣	ベイ	wān	waan1	bay / gulf / to cast anchor / to moor (a boat)
谢谢	謝謝	ありがとう	xiè xie	ze6 ze6	to thank / thanks / thank you
不客气	不客氣	どういたしまして	bù kè qi	bat1 haak3 hei3	you're welcome / don't mention it / impolite / rude / blunt
谢	謝	感謝	xiè	ze6	surname Xie || to thank / to apologize / to wither (of flowers, leaves etc) / to decline
客	客	乗客	kè	haak3	customer / visitor / guest
气	氣	ガス	qì	hei3	gas / air / smell / weather / to make angry / to annoy / to get angry / vital energy / qi
对不起	對不起	私は申し訳ありません	duì bu qǐ	deoi3 bat1 hei2	unworthy / to let down / I'm sorry / excuse me / pardon me / if you please / sorry? (please repeat)
没关系	沒關系	気にしないで	méi guān xi	mut6 gwaan1 hai6	it doesn't matter
起	起	スタート	qǐ	hei2	to rise / to raise / to get up / to set out / to start / to appear / to launch / to initiate (action) / to draft / to establish / to get (from a depot or counter) / verb suffix, to start / starting from (a time, place, price etc) / classifier for occurrences or unpredictable events: case, instance / classifier for groups: batch, group
没	沒	ではありません	méi	mut6	(negative prefix for verbs) / have not / not || drowned / to end / to die / to inundate
关	關	シャット	guān	gwaan1	surname Guan || mountain pass / to close / to shut / to turn off / to concern / to involve
系	系	部門	xì	hai6	to connect / to relate to / to tie up / to bind / to be (literary) || system / department / faculty || to tie / to fasten / to button up || to connect / to arrest / to worry
爸爸	爸爸	父	bà ba	baa1 baa1	(informal) father / CL: 個｜个, 位
妈妈	媽媽	ママ	mā ma	maa1 maa1	mama / mommy / mother / CL: 個｜个, 位
爱	愛	愛	ài	ngoi3	to love / to be fond of / to like / affection / to be inclined (to do sth) / to tend to (happen)
家人	家人	家族	jiā rén	gaa1 jan4	household / (one's) family
爸	爸	お父さん	bà	baa1	father / dad / pa / papa
妈	媽	ママ	mā	maa1	ma / mom / mother
谁	誰	誰	shéi	seoi4	who / also pr. [shui2]
那	那	その	nà	naa5	surname Na || surname Nuo || that / those / then (in that case) / commonly pr. [nei4] before a classifier, esp. in Beijing || (archaic) many / beautiful / how / old variant of 挪
个	個	もっと	gè	go3	individual / this / that / size / classifier for people or objects in general
这	這	本	zhè	ze5	this / these / (commonly pr. [zhei4] before a classifier, esp. in Beijing)
哥哥	哥哥	兄	gē ge	go1 go1	older brother / CL: 個｜个, 位
姐姐	姐姐	姉妹	jiě jie	ze2 ze2	older sister / CL: 個｜个
有	有	持っています	yǒu	jau5	to have / there is / there are / to exist / to be
哥	哥	兄	gē	go1	elder brother
姐	姐	姉妹	jiě	ze2	older sister
弟弟	弟弟	兄	dì di	dai6 dai6	younger brother / CL: 個｜个, 位
和	和	と	hé	wo4	surname He / Japanese (food, clothes etc) || and / together with / with / sum / union / peace / harmony / Taiwan pr. [han4] when it means 'and' or 'with' || to compose a poem in reply (to sb's poem) using the same rhyme sequence / to join in the singing / to chime in with others || to complete a set in mahjong or playing cards || to combine a powdery substance (flour, plaster etc) with water / Taiwan pr. [huo4] || to mix (ingredients) together / to blend / classifier for rinses of clothes / classifier for boilings of medicinal herbs
妹妹	妹妹	姉妹	mèi mei	mui6 mui6	younger sister / young woman / CL: 個｜个
弟	弟	弟	dì	dai6	younger brother / junior male / I (modest word in letter)
妹	妹	姉妹	mèi	mui6	younger sister
请问	請問	失礼しました	qǐng wèn	cing2 man6	Excuse me, may I ask...?
知道	知道	知っています	zhī dào	zi1 dou6	to know / to become aware of / also pr. [zhi1 dao5]
问	問	頼みます	wèn	man6	to ask
请	請	してください	qǐng	cing2	to ask / to invite / please (do sth) / to treat (to a meal etc) / to request
知	知	知っています	zhī	zi1	to know / to be aware
道	道	道路	dào	dou6	road / path / CL: 條｜条, 股 / principle / truth / morality / reason / skill / method / Dao (of Daoism) / to say / to speak / to talk / classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process / (old) administrative division (similar to province in Tang times)
说	說	言います	shuō	syut3	to persuade || to speak / to say / to explain / to scold / to tell off / a theory (typically the last character in a compound, as in 日心說｜日心说 heliocentric theory)
英语	英語	英語	yīng yǔ	jing1 jyu5	English (language)
汉语	漢語	中国の	hàn yǔ	hon3 jyu5	Chinese language / CL: 門｜门
汉	漢	中国の	hàn	hon3	Han ethnic group / Chinese (language) / the Han dynasty (206 BC-220 AD) || man
语	語	言語	yǔ	jyu5	dialect / language / speech || to tell to
帮助	幫助	助けます	bāng zhù	bong1 zo6	assistance / aid / to help / to assist
次	次	二次	cì	ci3	next in sequence / second / the second (day, time etc) / secondary / vice- / sub- / infra- / inferior quality / substandard / order / sequence / hypo- (chemistry) / classifier for enumerated events: time
帮	幫	助けます	bāng	bong1	to help / to assist / to support / for sb (i.e. as a help) / hired (as worker) / side (of pail, boat etc) / outer layer / upper (of a shoe) / group / gang / clique / party / secret society
助	助	助けます	zhù	zo6	to help / to assist
早安	早安	おはようございます	zǎo ān	zou2 ngon1	Good morning!
晚安	晚安	おやすみなさい	wǎn ān	maan5 ngon1	Good night! / Good evening!
一会儿	一會兒	しばらく	yī huìr	jat1 wui2 ji4	a moment / a while / in a moment / now...now... / also pr. [yi1 hui3 r5]
会	會	缶	huì	wui2	can / to be possible / to be able to / will / to be likely to / to be sure to / to assemble / to meet / to gather / to see / union / group / association / CL: 個｜个 / a moment (Taiwan pr. for this sense is [hui3]) || to balance an account / accountancy / accounting
安	安	確保します	ān	ngon1	surname An || content / calm / still / quiet / safe / secure / in good health / to find a place for / to install / to fix / to fit / to bring (a charge against sb) / to pacify / to harbor (good intentions) / security / safety / peace / ampere
最近	最近	最近	zuì jìn	zeoi3 gan6	recent / recently / these days / latest / soon / nearest (of locations) / shortest (of routes)
好久不见	好久不見	久しぶり	hǎo jiǔ bu jiàn	hou2 gau2 bat1 gin3	long time no see
不错	不錯	かなり良いです	bù cuò	bat1 co3	correct / right / not bad / pretty good
最	最	最も	zuì	zeoi3	most / the most / -est (superlative suffix)
近	近	近く	jìn	gan6	near / close to / approximately
久	久	長いです	jiǔ	gau2	(long) time / (long) duration of time
错	錯	間違いました	cuò	co3	surname Cuo || mistake / wrong / bad / interlocking / complex / to grind / to polish / to alternate / to stagger / to miss / to let slip / to evade / to inlay with gold or silver
要	要	へ	yào	jiu3	to demand / to request / to coerce || important / vital / to want / to ask for / will / going to (as future auxiliary) / may / must / (used in a comparison) must be / probably / if
热	熱	熱	rè	jit6	to warm up / to heat up / hot (of weather) / heat / fervent
冰	冰	アイス	bīng	bing1	ice / CL: 塊｜块 / to chill sth / (of an object or substance) to feel cold / (of a person) cold / unfriendly / (slang) methamphetamine
牛奶	牛奶	ミルク	niú nǎi	ngau4 naai5	cow's milk / CL: 瓶, 杯
咖啡	咖啡	コーヒー	kā fēi	gaa1 fe1	coffee (loanword) / CL: 杯
牛	牛	牛	niú	ngau4	surname Niu || ox / cow / bull / CL: 條｜条, 頭｜头 / (slang) awesome
奶	奶	ミルク	nǎi	naai5	breast / milk / to breastfeed || mother / variant of 奶
咖	咖	コーヒー	kā	gaa1	coffee / class / grade
啡	啡	コーヒー	fēi	fe1	(phonetic component)
洗手间	洗手間	トイレ	xǐ shǒu jiān	sai2 sau2 gaan1	toilet / lavatory / washroom
医院	醫院	病院	yī yuàn	ji1 jyun2	hospital / CL: 所, 家, 座
洗	洗	ウォッシュ	xǐ	sai2	to wash / to bathe / to develop (photo)
手	手	手	shǒu	sau2	hand / (formal) to hold / person engaged in certain types of work / person skilled in certain types of work / personal(ly) / convenient / classifier for skill / CL: 雙｜双, 隻｜只
间	間	間に	jiān	gaan1	between / among / within a definite time or space / room / section of a room or lateral space between two pairs of pillars / classifier for rooms || gap / to separate / to thin out (seedlings) / to sow discontent
院	院	病院	yuàn	jyun2	courtyard / institution / CL: 個｜个
这儿	這兒	ここに	zhèr	ze5 ji4	here
那儿	那兒	そこ	nàr	naa5 ji4	there
饭馆	飯館	レストラン	fàn guǎn	faan6 gun2	restaurant / CL: 家
馆	館	家	guǎn	gun2	building / shop / term for certain service establishments / embassy or consulate / schoolroom (old) / CL: 家
年	年	年	nián	nin4	surname Nian || year / CL: 個｜个 || grain / harvest (old) / variant of 年
月	月	月	yuè	jyut6	moon / month / monthly / CL: 個｜个, 輪｜轮
几	幾	少数	jǐ	gei2	small table || almost || how much / how many / several / a few
〇	〇	〇	líng	ling4	zero
星期	星期	週	xīng qī	sing1 kei4	week / CL: 個｜个 / day of the week / Sunday
明天	明天	明日	míng tiān	ming4 tin1	tomorrow
日	日	日	rì	jat6	abbr. for 日本, Japan || sun / day / date, day of the month
星	星	スター	xīng	sing1	star / heavenly body / satellite / small amount
期	期	期間	qī	kei4	a period of time / phase / stage / classifier for issues of a periodical, courses of study / time / term / period / to hope / Taiwan pr. [qi2]
点	點	ポイント	diǎn	dim2	point / dot / drop / speck / o'clock / point (in space or time) / to draw a dot / to check on a list / to choose / to order (food in a restaurant) / to touch briefly / to hint / to light / to ignite / to pour a liquid drop by drop / (old) one fifth of a two-hour watch 更 / dot stroke in Chinese characters / classifier for items
现在	現在	今	xiàn zài	jin6 zoi6	now / at present / at the moment / modern / current / nowadays
半	半	半分	bàn	bun3	half / semi- / incomplete / (after a number) and a half
现	現	現在	xiàn	jin6	to appear / present / now / existing / current
孩子	孩子	子供	hái zi	haai4 zi2	child
两	兩	二つ	liǎng	loeng5	two / both / some / a few / tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤 (old)
孩	孩	子供	hái	haai4	child
子	子	息子	zǐ	zi2	son / child / seed / egg / small thing / 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat / Viscount, fourth of five orders of nobility 五等爵位 / ancient Chinese compass point: 0° (north) || (noun suffix)
女儿	女兒	娘	nǚ ér	neoi5 ji4	daughter
儿子	兒子	息子	ér zi	ji4 zi2	son
岁	歲	年	suì	seoi3	classifier for years (of age) / year / year (of crop harvests)
女	女	女	nǚ	neoi5	female / woman / daughter
妻子	妻子	妻	qī zǐ	cai1 zi2	wife and children || wife / CL: 個｜个
丈夫	丈夫	夫	zhàng fu	zoeng6 fu1	husband / CL: 個｜个
妻	妻	妻	qī	cai1	wife || to marry off (a daughter)
丈	丈	10フィート	zhàng	zoeng6	measure of length, ten Chinese feet (3.3 m) / to measure / husband / polite appellation for an older male
夫	夫	夫	fū	fu1	husband / man / manual worker / conscripted laborer (old) || (classical) this, that / he, she, they / (exclamatory final particle) / (initial particle, introduces an opinion)
猫	貓	猫	māo	maau1	cat / CL: 隻｜只 / (dialect) to hide oneself / (coll.) modem
它	它	それは	tā	taa1	it
狗	狗	犬	gǒu	gau2	dog / CL: 隻｜只, 條｜条
喂	喂	フィード	wéi	wai3	hello (when answering the phone) || hey / to feed (an animal, baby, invalid etc) || to feed
慢	慢	遅いです	màn	maan6	slow
一点儿	一點兒	少し	yī diǎnr	jat1 dim2 ji4	erhua variant of 一點｜一点
快	快	速いです	kuài	faai3	rapid / quick / speed / rate / soon / almost / to make haste / clever / sharp (of knives or wits) / forthright / plainspoken / gratified / pleased / pleasant
得	得	得ます	dé	dak1	to obtain / to get / to gain / to catch (a disease) / proper / suitable / proud / contented / to allow / to permit / ready / finished || structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc || to have to / must / ought to / to need to
明白	明白	理解します	míng bai	ming4 baak6	clear / obvious / unequivocal / to understand / to realize
白	白	白	bái	baak6	surname Bai || white / snowy / pure / bright / empty / blank / plain / clear / to make clear / in vain / gratuitous / free of charge / reactionary / anti-communist / funeral / to stare coldly / to write wrong character / to state / to explain / vernacular / spoken lines in opera
漂亮	漂亮	美しいです	piào liang	piu1 loeng6	pretty / beautiful
漂	漂	漂流	piāo	piu1	to float / to drift || to bleach || elegant / polished
亮	亮	明るいです	liàng	loeng6	bright / clear / resonant / to shine / to show / to reveal
朋友	朋友	友人	péng you	pang4 jau5	friend / CL: 個｜个, 位
男	男	男性	nán	naam4	male / Baron, lowest of five orders of nobility 五等爵位 / CL: 個｜个
矮	矮	短いです	ǎi	ngai2	low / short (in length)
朋	朋	友人	péng	pang4	friend
友	友	優しいです	yǒu	jau5	friend
可爱	可愛	愛らしいです	kě ài	ho2 ngoi3	adorable / cute / lovely
非常	非常	非常に	fēi cháng	fei1 soeng4	very / very much / unusual / extraordinary
可	可	缶	kě	ho2	can / may / able to / to approve / to permit / to suit / (particle used for emphasis) certainly / very || see 可汗
非	非	非	fēi	fei1	abbr. for 非洲, Africa || to not be / not / wrong / incorrect / non- / un- / in- / to reproach or blame / (colloquial) to insist on / simply must
常	常	しばしば	cháng	soeng4	surname Chang || always / ever / often / frequently / common / general / constant
上午	上午	朝	shàng wǔ	soeng5 ng5	morning / CL: 個｜个
分	分	分割	fēn	fan1	to divide / to separate / to distribute / to allocate / to distinguish (good and bad) / part or subdivision / fraction / one tenth (of certain units) / unit of length equivalent to 0.33 cm / minute (unit of time) / minute (angular measurement unit) / a point (in sports or games) / 0.01 yuan (unit of money) || part / share / ingredient / component
下午	下午	午後	xià wǔ	haa6 ng5	afternoon / CL: 個｜个 / p.m.
晚上	晚上	夜間	wǎn shang	maan5 soeng5	evening / night / CL: 個｜个 / in the evening
午	午	正午	wǔ	ng5	7th earthly branch: 11 a.m.-1 p.m., noon, 5th solar month (6th June-6th July), year of the Horse / ancient Chinese compass point: 180° (south)
晚	晚	夜	wǎn	maan5	evening / night / late
下	下	下	xià	haa6	down / downwards / below / lower / later / next (week etc) / second (of two parts) / to decline / to go down / to arrive at (a decision, conclusion etc) / measure word to show the frequency of an action
每	每	各	měi	mui5	each / every
中午	中午	正午	zhōng wǔ	zung1 ng5	noon / midday / CL: 個｜个
周末	周末	週末	zhōu mò	zau1 mut6	weekend
周	周	周	zhōu	zau1	surname Zhou / Zhou Dynasty (1046-256 BC) || to make a circuit / to circle / circle / circumference / lap / cycle / complete / all / all over / thorough / to help financially || week / weekly / variant of 周
末	末	終了	mò	mut6	tip / end / final stage / latter part / inessential detail / powder / dust / opera role of old man
昨天	昨天	昨日	zuó tiān	zok6 tin1	yesterday
了	了	ザ・	le	liu5	(modal particle intensifying preceding clause) / (completed action marker) || to finish / to achieve / variant of 瞭｜了 / to understand clearly || (of eyes) bright / clear-sighted / to understand clearly
做	做	やります	zuò	zou6	to do / to make / to produce / to write / to compose / to act as / to engage in / to hold (a party) / to be / to become / to function (in some capacity) / to serve as / to be used for / to form (a bond or relationship) / to pretend / to feign / to act a part / to put on appearance
昨	昨	昨日	zuó	zok6	yesterday
今年	今年	今年	jīn nián	gam1 nin4	this year
去年	去年	昨年	qù nián	heoi3 nin4	last year
明年	明年	来年	míng nián	ming4 nin4	next year
去	去	行きます	qù	heoi3	to go / to go to (a place) / (of a time etc) last / just passed / to send / to remove / to get rid of / to reduce / to be apart from in space or time / to die (euphemism) / to play (a part) / (when used either before or after a verb) to go in order to do sth / (after a verb of motion indicates movement away from the speaker) / (used after certain verbs to indicate detachment or separation)
旁边	旁邊	サイド	páng biān	pong4 bin1	lateral / side / to the side / beside
左边	左邊	左	zuǒ bian	zo2 bin1	left / the left side / to the left of
右边	右邊	右	yòu bian	jau6 bin1	right side / right, to the right
旁	旁	横	páng	pong4	beside / one side / other / side / self / the right-hand side of split Chinese character, often the phonetic
